title,rating,tokens
"Flight of the Buffalo: Soaring to Excellence, Learning to Let Employees Lead",3.69,"Flight of the Buffalo: Soaring to Excellence, Learning to Let Employees Lead"
"Kingdom Hearts, Vol. 1",4.07,"Kingdom Hearts, Vol. 1"
Quest Study Bible: NIV,4.67,Quest Study Bible: NIV
Mediated: How the Media Shapes Your World and the Way You Live in It,3.79,Mediated: How the Media Shapes Your World and the Way You Live in It
Diane Arbus: A Biography,4.01,Diane Arbus: A Biography
The Wolf Wilder,4.06,The Wolf Wilder
Saving Fish from Drowning,3.44,Saving Fish from Drowning
The Silly Chicken,3.95,The Silly Chicken
The Naked Ape: A Zoologist's Study of the Human Animal,3.95,The Naked Ape: A Zoologist's Study of the Human Animal
The Nine Lives of Chloe King,3.78,The Nine Lives of Chloe King
Throne of Glass Collection,4.75,Throne of Glass Collection
Twisted Sister of Mine,4.15,Twisted Sister of Mine
Broken Embrace,3.96,Broken Embrace
The Dead Emcee Scrolls: The Lost Teachings of Hip-Hop,4.19,The Dead Emcee Scrolls: The Lost Teachings of Hip-Hop
Loving What Is: Four Questions That Can Change Your Life,4.1,Loving What Is: Four Questions That Can Change Your Life
18 Things,3.44,18 Things
Witch Ball,4.05,Witch Ball
Rules,3.97,Rules
An Evil Cradling,4.34,An Evil Cradling
The Valley of the Wolves,4.06,The Valley of the Wolves
Prison Memoirs of an Anarchist,3.97,Prison Memoirs of an Anarchist
Driving Mr. Dead,4.1,Driving Mr. Dead
The Eagle of the Ninth,3.92,The Eagle of the Ninth
The Valiant,3.8,The Valiant
Verita,3.85,Verita
Three Sisters,3.97,Three Sisters
The Leadership Secrets of Colin Powell,4.04,The Leadership Secrets of Colin Powell
The Titan,4.34,The Titan
Rainbow Boys,3.84,Rainbow Boys
Left for Undead,4.22,Left for Undead
Schoolgirl,3.9,Schoolgirl
Missing,4.14,Missing
Cocktail Hour Under the Tree of Forgetfulness,3.88,Cocktail Hour Under the Tree of Forgetfulness
The Road to the Dark Tower: Exploring Stephen King's Magnum Opus,4.31,The Road to the Dark Tower: Exploring Stephen King's Magnum Opus
"Star Trek 101: A Practical Guide to Who, What, Where, and Why",4.09,"Star Trek 101: A Practical Guide to Who, What, Where, and Why"
A Map of Days,4.14,A Map of Days
Meet Me in the Dark,4.09,Meet Me in the Dark
Garden Spells,4.06,Garden Spells
A Duke's Temptation,3.56,A Duke's Temptation
"Wages, Price and Profit",4.17,"Wages, Price and Profit"
The Complete Secret Seven Library,4.25,The Complete Secret Seven Library
Extinction,4.05,Extinction
Waltz With Bashir: A Lebanon War Story,3.93,Waltz With Bashir: A Lebanon War Story
The Power,4.09,The Power
Billiards at Half-Past Nine,3.93,Billiards at Half-Past Nine
Three Dark Crowns,3.83,Three Dark Crowns
Thunder and Ashes,4.11,Thunder and Ashes
Striking Thoughts: Bruce Lee's Wisdom for Daily Living,4.32,Striking Thoughts: Bruce Lee's Wisdom for Daily Living
To Dance with the White Dog,4.2,To Dance with the White Dog
Essentials of Organisational Behaviour,3.92,Essentials of Organisational Behaviour
Eyes Ever to the Sky,3.6,Eyes Ever to the Sky
BOAT SHOES – SOLILOQUY OF A USELESS EATER: Book Two,4.73,BOAT SHOES – SOLILOQUY OF A USELESS EATER: Book Two
Men of the Otherworld,4.26,Men of the Otherworld
"Fables: The Deluxe Edition, Book Two",4.33,"Fables: The Deluxe Edition, Book Two"
Bec,4.17,Bec
Black City,4.1,Black City
Autobiography of a Fat Bride: True Tales of a Pretend Adulthood,3.97,Autobiography of a Fat Bride: True Tales of a Pretend Adulthood
Grasshopper Jungle,3.63,Grasshopper Jungle
Naughty Delivery,3.8,Naughty Delivery
"Pumpkin Town! Or, Nothing Is Better and Worse Than Pumpkins",3.79,"Pumpkin Town! Or, Nothing Is Better and Worse Than Pumpkins"
A Little Something Different,3.61,A Little Something Different
Golden Stories of Accepted Prayers,4.62,Golden Stories of Accepted Prayers
Moon Cursed,4.4,Moon Cursed
Finding Laura,3.88,Finding Laura
Anna Dressed in Blood,3.93,Anna Dressed in Blood
Washington's Crossing,4.13,Washington's Crossing
A Tragic Kind of Wonderful,3.89,A Tragic Kind of Wonderful
Song of Myself,4.17,Song of Myself
Lake + Manning,4.37,Lake + Manning
The Prodigal Daughter,3.95,The Prodigal Daughter
Molloy,4.06,Molloy
Spying in High Heels,3.68,Spying in High Heels
"Farewell, My Lovelies",4.47,"Farewell, My Lovelies"
Memorizing You,4.36,Memorizing You
The Negotiator,3.99,The Negotiator
Flunked,3.82,Flunked
Greybeard,3.53,Greybeard
Koan,4.16,Koan
Howl's Moving Castle,4.26,Howl's Moving Castle
Captive,4.29,Captive
Earth Star,4.11,Earth Star
Safely Home,4.43,Safely Home
Her Warriors' Three Wishes,4.05,Her Warriors' Three Wishes
Seeing,3.82,Seeing
Thirteen Moons,3.7,Thirteen Moons
"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants",4.56,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge, and the Teachings of Plants"
Heidi,3.99,Heidi
The Chronicles of Prydain,4.41,The Chronicles of Prydain
The Moth in the Mirror,3.97,The Moth in the Mirror
Quails 101: The Most Asked Questions And Answers On Quail Farming,4.4,Quails 101: The Most Asked Questions And Answers On Quail Farming
An Untamed State,4.08,An Untamed State
The Book of Disquiet: The Complete Edition,4.44,The Book of Disquiet: The Complete Edition
The Cold Commands,3.95,The Cold Commands
The Huntress,3.88,The Huntress
Fire Storm: (One Dollar Horse book 3),4.34,Fire Storm: (One Dollar Horse book 3)
Ford County,3.62,Ford County
Meant to Be,3.73,Meant to Be
The Lemonade War,3.91,The Lemonade War
"A Bride's Story, Vol. 1",4.23,"A Bride's Story, Vol. 1"
Kindling the Moon,3.77,Kindling the Moon
Downtown Owl,3.55,Downtown Owl
Paths of Darkness Collector's Edition,4.38,Paths of Darkness Collector's Edition
The Final Hour,4.33,The Final Hour
Cold Sun: Obsession,4.53,Cold Sun: Obsession
Forgotten Lore: Volume I,4.29,Forgotten Lore: Volume I
The Lusiads,4.0,The Lusiads
Scarlet Angel,4.67,Scarlet Angel
In Search of Duende,4.29,In Search of Duende
Dancing on the Edge,3.87,Dancing on the Edge
Watch over Me,4.02,Watch over Me
Mr. Darcy's Diary,3.65,Mr. Darcy's Diary
Sleeping with the Enemy,4.47,Sleeping with the Enemy
Limits of Destiny,4.5,Limits of Destiny
The Beach,3.94,The Beach
The Night Strangers,3.16,The Night Strangers
"Akira, Vol. 2",4.45,"Akira, Vol. 2"
"Sucks to Be Me: The All-True Confessions of Mina Hamilton, Teen Vampire (maybe)",3.73,"Sucks to Be Me: The All-True Confessions of Mina Hamilton, Teen Vampire (maybe)"
The Clone,3.48,The Clone
Tempt Me Tonight,3.76,Tempt Me Tonight
The Complete Poems,4.28,The Complete Poems
In a Sunburned Country,4.07,In a Sunburned Country
Voyager: The Art of Pure Awareness,3.67,Voyager: The Art of Pure Awareness
The Wind Boy,4.2,The Wind Boy
The Vast Fields of Ordinary,3.93,The Vast Fields of Ordinary
Autobiography of a Sadhu: A Journey into Mystic India,4.08,Autobiography of a Sadhu: A Journey into Mystic India
Banker,4.06,Banker
The Genius of Dogs: How Dogs Are Smarter than You Think,3.98,The Genius of Dogs: How Dogs Are Smarter than You Think
Sustained,4.33,Sustained
One Day in My Life,4.38,One Day in My Life
The Human Obsession,4.14,The Human Obsession
Summoning the Night,3.98,Summoning the Night
The Fall of Terok Nor,4.01,The Fall of Terok Nor
"Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church",4.33,"Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church"
Someone to Run With,4.14,Someone to Run With
Mrs. Frisby and the Rats of NIMH,4.14,Mrs. Frisby and the Rats of NIMH
The Last Thing He Needs,4.1,The Last Thing He Needs
Binding Circumstance,4.86,Binding Circumstance
Edge Of Hunger,3.85,Edge Of Hunger
Vale of the Vole,3.61,Vale of the Vole
The Interesting Narrative of the Life of Olaudah Equiano: Written by Himself,3.74,The Interesting Narrative of the Life of Olaudah Equiano: Written by Himself
The Stars Never Rise,3.72,The Stars Never Rise
Delusion in Death,4.34,Delusion in Death
Blaze,3.73,Blaze
Gods in Alabama,3.86,Gods in Alabama
The Viper's Nest,3.98,The Viper's Nest
Sprouting Into Greatness: Principles of Personal Development That Will Empower You to Create Your Own Destiny,4.94,Sprouting Into Greatness: Principles of Personal Development That Will Empower You to Create Your Own Destiny
My Clockwork Muse (The Poe Files Mysteries),3.54,My Clockwork Muse (The Poe Files Mysteries)
The Song Rising,4.16,The Song Rising
Anatomy of a Boyfriend,3.4,Anatomy of a Boyfriend
Lirael,4.27,Lirael
The Pesthouse,3.51,The Pesthouse
Billionaire Boy,4.22,Billionaire Boy
Excellent Women,3.92,Excellent Women
Summerland,3.86,Summerland
The Citadel of the Autarch,4.21,The Citadel of the Autarch
Cuttlefish Bones,4.37,Cuttlefish Bones
"Bleach, Volume 07",4.36,"Bleach, Volume 07"
Citizen Kane,4.02,Citizen Kane
Willow Springs,4.28,Willow Springs
Blueprints for Building Better Girls: Fiction,3.57,Blueprints for Building Better Girls: Fiction
Damned,4.03,Damned
The Secret Commonwealth,4.07,The Secret Commonwealth
Fury,3.3,Fury
Fang,4.06,Fang
Homegrown Democrat: A Few Plain Thoughts from the Heart of America,3.97,Homegrown Democrat: A Few Plain Thoughts from the Heart of America
Baree: The Story of a Wolf-Dog,4.0,Baree: The Story of a Wolf-Dog
Delilah,3.75,Delilah
Surviving Suicide,4.46,Surviving Suicide
The Prophet of Lamath,3.91,The Prophet of Lamath
Silence: Part Two of Echoes & Silence,4.57,Silence: Part Two of Echoes & Silence
The Bone Collector,4.19,The Bone Collector
The Iron Tree,3.43,The Iron Tree
Hazard Zone,4.17,Hazard Zone
Angel's Wolf,4.21,Angel's Wolf
Because I Am Furniture,3.84,Because I Am Furniture
Immortal Beloved,4.1,Immortal Beloved
Her Dragon's Fire,4.16,Her Dragon's Fire
Manwich,3.66,Manwich
Play Dead,3.76,Play Dead
Jacob's Room,3.54,Jacob's Room
Camino Island,3.75,Camino Island
The Revolution of Ivy,3.92,The Revolution of Ivy
Talon,3.75,Talon
"One Robe, One Bowl: The Zen Poetry of Ryōkan",4.51,"One Robe, One Bowl: The Zen Poetry of Ryōkan"
The Faerie War,4.32,The Faerie War
Twisted Palace,3.97,Twisted Palace
Diary of a Wimpy Kid,3.99,Diary of a Wimpy Kid
Eagle's Gift,4.07,Eagle's Gift
Reunion in Death,4.35,Reunion in Death
Demons are a Ghoul's Best Friend,4.06,Demons are a Ghoul's Best Friend
"Chicken Diseases: Identification And Management Of Stress, Vices, And Diseases In Chickens",5.0,"Chicken Diseases: Identification And Management Of Stress, Vices, And Diseases In Chickens"
The Laramie Project,4.18,The Laramie Project
Connor,3.94,Connor
Her Dragon To Slay,3.83,Her Dragon To Slay
The Reformed Vampire Support Group,3.49,The Reformed Vampire Support Group
Rider in the Dark,3.99,Rider in the Dark
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,3.95,How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking
Fat! So?: Because You Don't Have to Apologize for Your Size,4.12,Fat! So?: Because You Don't Have to Apologize for Your Size
Hide and Seek,3.83,Hide and Seek
The Stand,4.34,The Stand
Absolute Favourites,4.36,Absolute Favourites
The Professor's House,3.76,The Professor's House
The Rules of Survival,3.98,The Rules of Survival
Deadline,4.1,Deadline
The Nightingale's Song,4.25,The Nightingale's Song
Night,4.34,Night
Remember Me,4.21,Remember Me
A Love Untamed,4.15,A Love Untamed
If You Fall...: It's a New Beginning,4.06,If You Fall...: It's a New Beginning
Men of Maize,4.02,Men of Maize
Trigger Warning: Short Fictions and Disturbances,3.91,Trigger Warning: Short Fictions and Disturbances
Exploring English,4.57,Exploring English
Abiku,4.07,Abiku
Fire Light,3.89,Fire Light
Pride of Baghdad,3.89,Pride of Baghdad
Shadows on the Moon,3.87,Shadows on the Moon
Legion of the Damned,4.0,Legion of the Damned
Highland Avenger,4.21,Highland Avenger
"07-Ghost, Volume 02",4.24,"07-Ghost, Volume 02"
One Hundred Views of NW3,4.13,One Hundred Views of NW3
Lord Byron: The Major Works,4.15,Lord Byron: The Major Works
The Hatchling,4.06,The Hatchling
The Strip,3.93,The Strip
The Codex,3.89,The Codex
Stumbling Toward Faith,4.07,Stumbling Toward Faith
Caprice and Rondo,4.47,Caprice and Rondo
If You Dare,4.0,If You Dare
On Agate Hill,3.77,On Agate Hill
The Green Hills of Earth,3.86,The Green Hills of Earth
Necessary Force,3.82,Necessary Force
A Stab in the Dark,4.01,A Stab in the Dark
The Thing About Jellyfish,4.09,The Thing About Jellyfish
My Lady of Cleves,3.99,My Lady of Cleves
The Darkness of the Womb,3.71,The Darkness of the Womb
The Last Boyfriend,4.08,The Last Boyfriend
Puppies for Sale: $25.00 a Collection of the Best Dog Stories Ever,4.41,Puppies for Sale: $25.00 a Collection of the Best Dog Stories Ever
Uncle,3.96,Uncle
Harry Potter Series Box Set,4.73,Harry Potter Series Box Set
J. D. Robb 10 Books Death Series Collection Set,4.69,J. D. Robb 10 Books Death Series Collection Set
It Does Not Die,3.92,It Does Not Die
Poems,4.38,Poems
Famous Last Words,3.99,Famous Last Words
Cat,3.73,Cat
The Eye of the Moon,4.17,The Eye of the Moon
"Walt Disney - Eeyore, Be Happy (A Little Golden Book)",4.39,"Walt Disney - Eeyore, Be Happy (A Little Golden Book)"
The Starfish and the Spider: The Unstoppable Power of Leaderless Organizations,3.87,The Starfish and the Spider: The Unstoppable Power of Leaderless Organizations
Life in the Fast-Food Lane,3.5,Life in the Fast-Food Lane
Mortal Coils,4.06,Mortal Coils
Grave Mercy,3.89,Grave Mercy
Death Blows,3.87,Death Blows
Memory Wall,4.09,Memory Wall
The Women's Room,3.96,The Women's Room
The New Hunger,3.91,The New Hunger
Haunted,3.58,Haunted
Born Again,4.25,Born Again
The Fall of Lucifer,3.96,The Fall of Lucifer
The Legacy of Heorot,3.94,The Legacy of Heorot
Seneca Falls and the Origins of the Womens Rights Movement (Pivotal Moments in American History),3.76,Seneca Falls and the Origins of the Womens Rights Movement (Pivotal Moments in American History)
The Binding,3.88,The Binding
"Annie's Baby: The Diary of Anonymous, A Pregnant Teenager",3.63,"Annie's Baby: The Diary of Anonymous, A Pregnant Teenager"
Tempting the Highlander,4.07,Tempting the Highlander
A Criminal Defense,4.01,A Criminal Defense
A Company of Swans,3.99,A Company of Swans
The Sword,3.9,The Sword
The Redbreast,3.93,The Redbreast
Root,4.24,Root
The Sunday Philosophy Club,3.36,The Sunday Philosophy Club
Private Faces: The Autobiography,3.81,Private Faces: The Autobiography
Easton,3.75,Easton
Discourse on Method,3.72,Discourse on Method
I Am Waltz,4.12,I Am Waltz
Master and Commander: 20 Volume Set,4.76,Master and Commander: 20 Volume Set
The Wrath and the Dawn,4.11,The Wrath and the Dawn
A Spy at Home,3.7,A Spy at Home
William Golding's Lord of the Flies,3.76,William Golding's Lord of the Flies
Nick & Norah's Infinite Playlist,3.7,Nick & Norah's Infinite Playlist
"Crazy Is My Superpower: How I Triumphed by Breaking Bones, Breaking Hearts, and Breaking the Rules",4.49,"Crazy Is My Superpower: How I Triumphed by Breaking Bones, Breaking Hearts, and Breaking the Rules"
Wothlondia Rising: The Anthology,4.25,Wothlondia Rising: The Anthology
The Hogwarts Library,4.45,The Hogwarts Library
Three Men in a Boat,3.88,Three Men in a Boat
Princess of the Silver Woods,4.06,Princess of the Silver Woods
A Ceremony of Losses,4.18,A Ceremony of Losses
Deadly Little Lies,4.02,Deadly Little Lies
Independence Day,3.86,Independence Day
Chinese Education in Singapore: An Untold Story of Conflict and Change,3.53,Chinese Education in Singapore: An Untold Story of Conflict and Change
The Lost Prince,4.04,The Lost Prince
The Exception,4.03,The Exception
"Jules Verne: Seven Novels (Extraordinary Voyages, #1 & 3 & 4 & 6 & 7 & 11 & 12)",4.33,"Jules Verne: Seven Novels (Extraordinary Voyages, #1 & 3 & 4 & 6 & 7 & 11 & 12)"
Palestine,4.2,Palestine
Good Oil,3.52,Good Oil
Shawn's Voice,4.05,Shawn's Voice
The Atheist's Bible: An Illustrious Collection of Irreverent Thoughts,3.93,The Atheist's Bible: An Illustrious Collection of Irreverent Thoughts
Touched,3.63,Touched
Death Note Box Set,4.53,Death Note Box Set
A Grave Talent,3.93,A Grave Talent
The Hostile Hospital,3.97,The Hostile Hospital
Leviathan Wept and Other Stories,3.92,Leviathan Wept and Other Stories
"Gravitation, Volume 01",3.77,"Gravitation, Volume 01"
Stand Tall,3.68,Stand Tall
Boy Meets Girl,3.83,Boy Meets Girl
Sharpe's Eagle,4.26,Sharpe's Eagle
Why I Left Goldman Sachs: A Wall Street Story,3.7,Why I Left Goldman Sachs: A Wall Street Story
Magic Rising,4.15,Magic Rising
Kicking It,3.83,Kicking It
Junie B. Jones and the Yucky Blucky Fruitcake,4.01,Junie B. Jones and the Yucky Blucky Fruitcake
Code Name: Baby,3.85,Code Name: Baby
Petronella Saves Nearly Everyone: The Entomological Tales of Augustus T. Percival,3.44,Petronella Saves Nearly Everyone: The Entomological Tales of Augustus T. Percival
